"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 21:12:44 ICT 2022","Fri Sep 02 21:13:25 ICT 2022","40274","","Chatbot","","Chatbot","input the question Explain Chatbots","input the question Explain Chatbots",""
"passed","Fri Sep 02 21:13:25 ICT 2022","Fri Sep 02 21:13:54 ICT 2022","29801","","Chatbot","","Chatbot","input the question Costs","input the question Costs",""
