"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 04:30:59 GMT 2022","Sun Sep 04 04:31:21 GMT 2022","21639","","Chatbot","","Chatbot","input the question Explain chatbots","input the question Explain chatbots",""
"passed","Sun Sep 04 04:31:21 GMT 2022","Sun Sep 04 04:31:38 GMT 2022","16928","","Chatbot","","Chatbot","input the question Costs","input the question Costs",""
