"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 03 14:55:57 GMT 2022","Sat Sep 03 14:56:16 GMT 2022","19219","","Chatbot","","Chatbot","input the question Explain Chatbots","input the question Explain Chatbots",""
"passed","Sat Sep 03 14:56:16 GMT 2022","Sat Sep 03 14:56:35 GMT 2022","18206","","Chatbot","","Chatbot","input the question Costs","input the question Costs",""
